optimizer,learning_rate,accuracy,precision,recall,F1_score,n_components,failure
SGD,0.001,0.4981612446958982,0.4981612446958982,1.0,0.6650302114803625,5,False
SGD,0.005,Couldn't compute,Couldn't compute,Couldn't compute,NA,5,True
SGD,0.01,0.4981612446958982,0.4981612446958982,1.0,0.6650302114803625,5,False
SGD,0.05,0.4981612446958982,0.4981612446958982,1.0,0.6650302114803625,5,False
SGD,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,5,True
Adam,0.001,0.6227722772277228,0.5857856746252083,0.8806343906510852,0.703567855951984,6,False
Adam,0.005,Couldn't compute,Couldn't compute,Couldn't compute,NA,6,True
Adam,0.01,0.5080622347949081,0.5082059988681381,0.9994435169727324,0.6737947852185331,6,False
Adam,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,6,True
Adam,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,6,True
SGD,0.001,0.4963224893917963,0.5942857142857143,0.028937117417918753,0.05518705226850624,6,False
SGD,0.005,0.5021216407355021,0.5525568181818182,0.1082359488035615,0.1810144253140996,6,False
SGD,0.01,0.5083451202263084,0.5083451202263084,1.0,0.6740435108777195,6,False
SGD,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,6,True
SGD,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,6,True
Adam,0.001,0.6125884016973125,0.5670804284985547,0.9452947845804989,0.7088957381230737,7,False
Adam,0.005,0.5012729844413013,0.5074626865671642,0.01927437641723356,0.037138175860185696,7,False
Adam,0.01,Couldn't compute,Couldn't compute,Couldn't compute,NA,7,True
Adam,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,7,True
Adam,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,7,True
SGD,0.001,0.499009900990099,0.499009900990099,1.0,0.665785997357992,7,False
SGD,0.005,Couldn't compute,Couldn't compute,Couldn't compute,NA,7,True
SGD,0.01,0.48826025459688827,0.4702774108322325,0.2018140589569161,0.282427608092027,7,False
SGD,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,7,True
SGD,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,7,True
Adam,0.001,0.6161244695898161,0.5740875912408759,0.892229154849688,0.6986453475460804,8,False
Adam,0.005,0.4994342291371994,0.4990789287232535,0.9988655700510494,0.6655957667958046,8,False
Adam,0.01,Couldn't compute,Couldn't compute,Couldn't compute,NA,8,True
Adam,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,8,True
Adam,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,8,True
SGD,0.001,0.5045261669024045,0.5186991869918699,0.09047078842881452,0.15406906544312968,8,False
SGD,0.005,Couldn't compute,Couldn't compute,Couldn't compute,NA,8,True
SGD,0.01,0.503960396039604,0.6938775510204082,0.009642654566080544,0.01902097902097902,8,False
SGD,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,8,True
SGD,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,8,True
Adam,0.001,0.6257425742574257,0.5803228285933897,0.8673176335439403,0.6953718627676722,9,False
Adam,0.005,0.5111739745403112,0.75,0.011200459506031017,0.022071307300509338,9,False
Adam,0.01,0.5107496463932107,0.8285714285714286,0.00832854681217691,0.016491327836224055,9,False
Adam,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,9,True
Adam,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,9,True
SGD,0.001,0.4925035360678925,0.4925035360678925,1.0,0.6599696739954511,9,False
SGD,0.005,0.4925035360678925,0.4925035360678925,1.0,0.6599696739954511,9,False
SGD,0.01,0.5148514851485149,0.5365168539325843,0.10970706490522689,0.18216499761564142,9,False
SGD,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,9,True
SGD,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,9,True
Adam,0.001,0.634936350777935,0.5914375346004798,0.8972564389697648,0.7129351573796019,10,False
Adam,0.005,0.5066478076379066,0.5059591373439274,0.9983202687569989,0.6715630885122411,10,False
Adam,0.01,Couldn't compute,Couldn't compute,Couldn't compute,NA,10,True
Adam,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,10,True
Adam,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,10,True
SGD,0.001,0.5052333804809053,0.5052333804809053,1.0,0.6713023867694042,10,False
SGD,0.005,Couldn't compute,Couldn't compute,Couldn't compute,NA,10,True
SGD,0.01,Couldn't compute,Couldn't compute,Couldn't compute,NA,10,True
SGD,0.05,Couldn't compute,Couldn't compute,Couldn't compute,NA,10,True
SGD,0.1,Couldn't compute,Couldn't compute,Couldn't compute,NA,10,True
